# Time [ms], MC signal
0.434043,0.506
0.435039,0.505
0.436023,0.504
0.437015,0.504
0.438024,0.504
0.439058,0.506
0.440055,0.507
0.441017,0.505
0.442024,0.504
0.443044,0.505
0.444046,0.505
0.444987,0.504
0.446017,0.505
0.447035,0.504
0.448065,0.507
0.448999,0.505
0.450031,0.505
0.451041,0.505
0.451991,0.504
0.453023,0.506
0.454024,0.504
0.455037,0.504
0.456026,0.504
0.457066,0.504
0.458001,0.504
0.459104,0.504
0.460011,0.506
0.461041,0.503
0.462042,0.503
0.463054,0.503
0.464043,0.506
0.464997,0.504
0.466027,0.504
0.467045,0.505
0.467989,0.505
0.469008,0.504
0.470038,0.505
0.471056,0.505
0.472000,0.505
0.473030,0.504
0.474031,0.506
0.475041,0.504
0.476059,0.506
0.477055,0.507
0.478018,0.505
0.479042,0.506
0.479987,0.506
0.481004,0.505
0.482035,0.504
0.483052,0.505
0.484083,0.508
0.485007,0.503
0.486031,0.504
0.487043,0.504
0.488056,0.504
0.489054,0.504
0.490017,0.504
0.491022,0.504
0.492052,0.503
0.493001,0.503
0.494033,0.506
0.495050,0.504
0.496081,0.504
0.497005,0.504
0.498006,0.504
0.499026,0.505
0.500058,0.504
0.501052,0.506
0.502015,0.504
0.503020,0.506
0.504051,0.504
0.505068,0.506
0.506013,0.505
0.507047,0.504
0.508079,0.504
0.509005,0.504
0.510006,0.504
0.511017,0.504
0.512032,0.505
0.513013,0.504
0.513986,0.502
0.515016,0.504
0.516046,0.504
0.517064,0.503
0.518007,0.504
0.519027,0.504
0.520056,0.504
0.520996,0.505
0.521996,0.505
0.523005,0.505
0.524023,0.505
0.525019,0.502
0.525988,0.504
0.526993,0.503
0.528025,0.503
0.529062,0.503
0.530094,0.502
0.531001,0.505
0.532029,0.503
0.533051,0.502
0.534001,0.504
0.535031,0.504
0.536039,0.505
0.537069,0.504
0.537990,0.505
0.539006,0.504
0.540038,0.504
0.541038,0.504
0.542053,0.504
0.542988,0.504
0.543999,0.504
0.545042,0.504
0.546048,0.504
0.546988,0.504
0.548007,0.503
0.549040,0.506
0.550051,0.504
0.550999,0.504
0.552031,0.504
0.553055,0.504
0.553994,0.506
0.555003,0.504
0.556059,0.504
0.557069,0.504
0.558010,0.504
0.559031,0.506
0.560061,0.507
0.560985,0.504
0.561987,0.504
0.563000,0.504
0.564031,0.506
0.565009,0.503
0.566059,0.503
0.567000,0.504
0.568030,0.502
0.569050,0.503
0.569997,0.503
0.571030,0.504
0.572060,0.504
0.573078,0.504
0.574000,0.504
0.575025,0.505
0.576031,0.504
0.577044,0.503
0.578075,0.505
0.578993,0.504
0.580043,0.504
0.581047,0.504
0.581992,0.504
0.583009,0.505
0.584042,0.505
0.585051,0.505
0.586001,0.505
0.587032,0.504
0.588033,0.503
0.589050,0.503
0.590002,0.504
0.591019,0.505
0.592064,0.504
0.593004,0.505
0.594034,0.505
0.595052,0.504
0.596083,0.504
0.597007,0.505
0.598008,0.503
0.599037,0.506
0.600052,0.504
0.601047,0.506
0.602010,0.505
0.603015,0.504
0.604045,0.505
0.605062,0.505
0.606024,0.504
0.607051,0.506
0.608082,0.505
0.609010,0.504
0.610013,0.505
0.611026,0.503
0.612039,0.505
0.613034,0.503
0.613987,0.504
0.615007,0.505
0.615994,0.506
0.617023,0.506
0.618024,0.506
0.619036,0.504
0.620075,0.504
0.620988,0.504
0.622032,0.505
0.623037,0.504
0.624068,0.507
0.625000,0.505
0.626031,0.504
0.627055,0.504
0.628089,0.504
0.629010,0.505
0.630013,0.503
0.631023,0.505
0.632041,0.505
0.633037,0.504
0.634018,0.504
0.635027,0.504
0.636058,0.504
0.636989,0.504
0.638020,0.506
0.639037,0.505
0.640070,0.506
0.641014,0.506
0.642014,0.504
0.643026,0.505
0.644039,0.505
0.645017,0.504
0.645984,0.506
0.647009,0.504
0.648045,0.504
0.649061,0.504
0.650051,0.503
0.651013,0.504
0.652020,0.504
0.653049,0.504
0.654069,0.504
0.655011,0.504
0.656022,0.504
0.657048,0.505
0.658003,0.504
0.659002,0.504
0.660057,0.502
0.660983,0.505
0.662015,0.505
0.663025,0.506
0.664053,0.504
0.665006,0.503
0.666008,0.504
0.667020,0.503
0.668010,0.504
0.669010,0.504
0.670040,0.505
0.671056,0.504
0.672053,0.504
0.673015,0.505
0.674028,0.504
0.675057,0.504
0.675988,0.507
0.677034,0.504
0.678023,0.504
0.679023,0.506
0.679991,0.505
0.680995,0.506
0.682026,0.504
0.683043,0.505
0.683985,0.504
0.685015,0.506
0.686016,0.504
0.687027,0.504
0.688046,0.504
0.689045,0.505
0.690010,0.503
0.691032,0.503
0.692062,0.503
0.692994,0.504
0.694025,0.504
0.695043,0.504
0.696073,0.505
0.696998,0.504
0.698016,0.503
0.699028,0.504
0.700043,0.504
0.701046,0.504
0.702009,0.504
0.703013,0.504
0.704044,0.505
0.704993,0.502
0.706024,0.505
0.707042,0.504
0.708072,0.505
0.709000,0.503
0.710004,0.504
0.711015,0.504
0.712047,0.504
0.713041,0.503
0.714004,0.504
0.715016,0.504
0.716046,0.504
0.717064,0.505
0.718008,0.504
0.719043,0.504
0.720041,0.505
0.720994,0.504
0.721996,0.504
0.723008,0.504
0.723998,0.504
0.724998,0.505
0.726013,0.506
0.727041,0.504
0.728044,0.504
0.729007,0.503
0.730016,0.506
0.731045,0.505
0.732047,0.504
0.733036,0.504
0.734000,0.504
0.735018,0.504
0.736049,0.504
0.737067,0.505
0.738012,0.504
0.739029,0.505
0.740064,0.504
0.741005,0.504
0.742012,0.506
0.743023,0.505
0.744013,0.504
0.745013,0.504
0.746024,0.504
0.747040,0.505
0.748054,0.503
0.749016,0.503
0.750024,0.504
0.751053,0.504
0.751985,0.504
0.753014,0.504
0.754034,0.505
0.755087,0.504
0.756014,0.505
0.757015,0.506
0.758025,0.504
0.759041,0.505
0.760023,0.505
0.760988,0.506
0.762026,0.505
0.763054,0.504
0.763988,0.505
0.765016,0.504
0.766035,0.504
0.767063,0.505
0.767988,0.505
0.769008,0.505
0.770021,0.505
0.771037,0.504
0.772017,0.505
0.772983,0.504
0.773989,0.506
0.775081,0.506
0.776015,0.507
0.777025,0.505
0.778055,0.505
0.778984,0.504
0.780017,0.506
0.781034,0.504
0.782070,0.504
0.783013,0.504
0.784013,0.507
0.785022,0.506
0.786039,0.506
0.787035,0.504
0.787984,0.505
0.789005,0.504
0.790062,0.503
0.791016,0.504
0.792006,0.504
0.793015,0.505
0.794032,0.505
0.795034,0.505
0.795998,0.506
0.797003,0.507
0.798051,0.505
0.799068,0.505
0.800012,0.506
0.800999,0.504
0.802000,0.504
0.803051,0.508
0.804057,0.505
0.805017,0.505
0.806037,0.505
0.807066,0.505
0.807993,0.504
0.809002,0.504
0.810017,0.504
0.811028,0.504
0.812032,0.507
0.813045,0.506
0.814066,0.505
0.815009,0.506
0.816028,0.505
0.817058,0.506
0.817984,0.506
0.819001,0.505
0.820014,0.507
0.821028,0.506
0.822031,0.506
0.822992,0.505
0.823998,0.508
0.825027,0.505
0.826066,0.504
0.827009,0.504
0.828029,0.504
0.829058,0.505
0.829984,0.506
0.830986,0.505
0.832000,0.506
0.833030,0.504
0.834025,0.504
0.835050,0.506
0.835999,0.504
0.837028,0.506
0.838049,0.507
0.838992,0.506
0.840029,0.505
0.841061,0.506
0.841987,0.506
0.842987,0.505
0.844000,0.506
0.845011,0.506
0.846008,0.504
0.847057,0.505
0.847993,0.506
0.849029,0.507
0.850048,0.505
0.850993,0.505
0.852012,0.506
0.853042,0.506
0.853987,0.505
0.854985,0.506
0.855998,0.507
0.857009,0.505
0.858007,0.507
0.859037,0.507
0.860038,0.506
0.861053,0.506
0.861990,0.505
0.863007,0.506
0.864050,0.504
0.865055,0.507
0.866000,0.505
0.867018,0.506
0.868050,0.504
0.868991,0.505
0.869993,0.505
0.871008,0.504
0.871998,0.505
0.872998,0.504
0.874009,0.507
0.875024,0.506
0.876044,0.506
0.877006,0.507
0.878013,0.508
0.879042,0.507
0.880045,0.506
0.881034,0.506
0.881997,0.507
0.883020,0.506
0.884039,0.507
0.885025,0.506
0.886026,0.506
0.887037,0.506
0.888050,0.507
0.889048,0.504
0.890029,0.505
0.891041,0.505
0.891986,0.506
0.893003,0.506
0.894034,0.505
0.895051,0.506
0.896082,0.506
0.897026,0.506
0.898025,0.505
0.899037,0.506
0.900050,0.506
0.901047,0.508
0.902010,0.505
0.903022,0.508
0.904055,0.507
0.905081,0.508
0.906000,0.507
0.907021,0.504
0.908051,0.505
0.909003,0.505
0.910004,0.508
0.911023,0.506
0.912028,0.504
0.913028,0.507
0.914039,0.506
0.915054,0.505
0.916051,0.507
0.917021,0.506
0.918027,0.504
0.918985,0.506
0.920005,0.505
0.921037,0.507
0.922057,0.505
0.923086,0.506
0.924013,0.506
0.925014,0.507
0.926042,0.507
0.927057,0.507
0.928055,0.505
0.929018,0.506
0.930029,0.507
0.931060,0.506
0.931992,0.505
0.933038,0.504
0.934057,0.505
0.935086,0.505
0.936013,0.508
0.937013,0.507
0.938025,0.506
0.939040,0.504
0.940054,0.508
0.941019,0.507
0.942025,0.506
0.943054,0.507
0.944063,0.507
0.945050,0.506
0.945999,0.505
0.947035,0.507
0.948065,0.505
0.948993,0.505
0.950024,0.507
0.951045,0.504
0.952075,0.508
0.953000,0.507
0.954019,0.505
0.955029,0.507
0.956046,0.506
0.957049,0.508
0.957998,0.506
0.959016,0.508
0.960047,0.504
0.960994,0.506
0.961983,0.504
0.963017,0.507
0.964023,0.506
0.965051,0.506
0.965985,0.508
0.967015,0.506
0.968052,0.507
0.969081,0.507
0.970007,0.507
0.971016,0.508
0.972030,0.506
0.973042,0.507
0.974021,0.507
0.974993,0.506
0.976023,0.505
0.977041,0.507
0.978028,0.507
0.979029,0.507
0.980039,0.505
0.981057,0.508
0.982056,0.506
0.983033,0.507
0.984045,0.507
0.984987,0.506
0.986006,0.507
0.987034,0.506
0.988053,0.504
0.989087,0.505
0.989985,0.506
0.991010,0.506
0.992031,0.506
0.993037,0.506
0.994068,0.505
0.994992,0.504
0.996000,0.504
0.997002,0.506
0.998031,0.505
0.998983,0.504
1.000090,0.507
1.001055,0.506
1.001983,0.506
1.003029,0.506
1.004037,0.505
1.005009,0.506
1.005998,0.505
1.007014,0.508
1.008074,0.507
1.009045,0.504
1.009984,0.504
1.011047,0.504
1.012001,0.507
1.013005,0.505
1.014016,0.506
1.015031,0.504
1.016029,0.507
1.016990,0.505
1.017996,0.505
1.019031,0.506
1.020018,0.506
1.021018,0.505
1.022033,0.505
1.023045,0.507
1.024045,0.507
1.025008,0.507
1.026032,0.508
1.027061,0.505
1.027999,0.506
1.029005,0.504
1.030060,0.504
1.031038,0.504
1.031991,0.505
1.033050,0.506
1.034061,0.505
1.035093,0.508
1.036058,0.507
1.036996,0.505
1.038043,0.505
1.039026,0.505
1.039985,0.506
1.041069,0.505
1.042006,0.508
1.042984,0.505
1.044015,0.506
1.045069,0.505
1.046049,0.504
1.047056,0.506
1.048046,0.505
1.049027,0.505
1.050036,0.504
1.050984,0.506
1.052014,0.506
1.053005,0.505
1.054057,0.505
1.055056,0.507
1.056033,0.506
1.057022,0.506
1.058039,0.506
1.059001,0.507
1.060061,0.505
1.061000,0.504
1.062060,0.504
1.063044,0.505
1.064045,0.506
1.065078,0.506
1.065999,0.507
1.067004,0.508
1.068013,0.507
1.069058,0.504
1.070015,0.507
1.071027,0.504
1.072043,0.507
1.073032,0.507
1.074020,0.506
1.074983,0.508
1.076014,0.506
1.077078,0.507
1.078019,0.505
1.079006,0.506
1.080045,0.507
1.081008,0.506
1.082061,0.505
1.083008,0.506
1.084053,0.508
1.085039,0.504
1.086078,0.506
1.087034,0.506
1.087986,0.505
1.089038,0.507
1.090009,0.505
1.091035,0.508
1.092068,0.505
1.093022,0.506
1.093988,0.505
1.095027,0.508
1.096058,0.508
1.097046,0.507
1.097985,0.505
1.099053,0.506
1.100017,0.507
1.101046,0.506
1.102035,0.504
1.102983,0.507
1.104034,0.505
1.105013,0.506
1.106060,0.506
1.107015,0.504
1.108044,0.506
1.109019,0.507
1.110000,0.506
1.111026,0.507
1.111986,0.508
1.112985,0.504
1.114028,0.506
1.114998,0.507
1.116026,0.505
1.117007,0.505
1.118036,0.506
1.119007,0.506
1.119996,0.505
1.121032,0.507
1.121998,0.505
1.122992,0.507
1.124035,0.507
1.124998,0.504
1.126029,0.508
1.126988,0.506
1.128036,0.506
1.129050,0.507
1.130012,0.506
1.131017,0.505
1.131997,0.506
1.133030,0.506
1.133987,0.508
1.135049,0.504
1.135999,0.505
1.137005,0.508
1.138046,0.507
1.138995,0.507
1.140011,0.505
1.140990,0.506
1.142030,0.507
1.143012,0.507
1.144031,0.504
1.145058,0.505
1.145990,0.506
1.147022,0.507
1.148084,0.506
1.149047,0.506
1.150013,0.504
1.150983,0.507
1.152004,0.505
1.153074,0.504
1.154033,0.504
1.154998,0.505
1.155986,0.506
1.157022,0.504
1.158003,0.504
1.159041,0.505
1.160023,0.506
1.161050,0.505
1.162017,0.504
1.163004,0.506
1.164056,0.508
1.165019,0.506
1.166056,0.508
1.167020,0.506
1.167992,0.505
1.169017,0.506
1.170090,0.506
1.171044,0.506
1.172021,0.504
1.173010,0.504
1.174056,0.504
1.175011,0.504
1.176039,0.506
1.177016,0.506
1.178011,0.505
1.179008,0.506
1.179987,0.506
1.181016,0.506
1.181983,0.504
1.183040,0.506
1.183998,0.506
1.185056,0.505
1.186028,0.505
1.186991,0.506
1.188041,0.506
1.188993,0.505
1.190005,0.504
1.190991,0.506
1.192047,0.507
1.193016,0.504
1.194029,0.507
1.195018,0.505
1.195989,0.507
1.197019,0.505
1.198000,0.506
1.199019,0.506
1.199991,0.506
1.201039,0.507
1.201991,0.507
1.203005,0.507
1.203993,0.506
1.205010,0.507
1.206058,0.507
1.207011,0.506
1.208050,0.504
1.208987,0.505
1.210011,0.507
1.211073,0.505
1.212000,0.504
1.213053,0.507
1.213999,0.505
1.215025,0.505
1.215983,0.505
1.217011,0.506
1.218054,0.506
1.219025,0.507
1.220052,0.505
1.221050,0.505
1.222003,0.505
1.223050,0.504
1.224038,0.507
1.225034,0.506
1.226022,0.505
1.227017,0.504
1.228081,0.506
1.229026,0.506
1.230039,0.507
1.231084,0.508
1.232034,0.505
1.232991,0.507
1.234053,0.506
1.235007,0.507
1.236038,0.505
1.237003,0.506
1.238016,0.506
1.238988,0.507
1.240049,0.506
1.240998,0.506
1.242072,0.505
1.243017,0.505
1.243992,0.508
1.245044,0.505
1.246069,0.504
1.246997,0.506
1.248042,0.506
1.249072,0.506
1.250082,0.507
1.251027,0.505
1.252058,0.505
1.253025,0.507
1.253984,0.506
1.255014,0.508
1.255991,0.505
1.257053,0.504
1.258061,0.505
1.259031,0.506
1.259987,0.507
1.260993,0.507
1.262043,0.506
1.262993,0.508
1.264027,0.507
1.265057,0.505
1.265986,0.506
1.267048,0.508
1.267998,0.507
1.268986,0.504
1.270023,0.505
1.271004,0.506
1.271984,0.505
1.273021,0.508
1.273993,0.506
1.275028,0.506
1.276003,0.505
1.277042,0.506
1.277992,0.508
1.279008,0.504
1.279999,0.508
1.281037,0.504
1.282033,0.506
1.283053,0.508
1.284025,0.506
1.284988,0.506
1.286036,0.506
1.287029,0.508
1.288035,0.506
1.289024,0.506
1.289989,0.506
1.291018,0.507
1.292069,0.507
1.293030,0.506
1.294025,0.504
1.294996,0.506
1.296015,0.506
1.297077,0.507
1.298002,0.507
1.299027,0.506
1.300016,0.507
1.300993,0.504
1.302003,0.506
1.303026,0.505
1.304034,0.506
1.305019,0.505
1.306026,0.506
1.306996,0.507
1.308074,0.506
1.309014,0.506
1.310000,0.508
1.310985,0.507
1.312054,0.508
1.313059,0.508
1.314038,0.504
1.315043,0.506
1.315987,0.507
1.317033,0.506
1.318021,0.505
1.319028,0.507
1.319994,0.505
1.321058,0.508
1.322064,0.506
1.323001,0.506
1.323985,0.508
1.325029,0.506
1.325998,0.506
1.327014,0.507
1.328022,0.507
1.329006,0.506
1.330034,0.506
1.330987,0.507
1.331984,0.507
1.333048,0.508
1.334009,0.506
1.335040,0.507
1.336011,0.507
1.337033,0.506
1.338017,0.507
1.339020,0.506
1.340048,0.506
1.341013,0.508
1.342026,0.506
1.343002,0.507
1.344000,0.508
1.345023,0.506
1.346085,0.506
1.347022,0.506
1.347986,0.507
1.349004,0.505
1.350041,0.506
1.351007,0.507
1.352054,0.506
